name,description,image_url,chill_score,touristic_score,cultural_score,must_do_score,family_friendly_score,group_friendly_score,couple_friendly_score,budget,time_commitment_score,latitude,longitude,popularity_score,adventurous_score,off_the_beaten_path_score,entertainment_score,sportive_score,originality_score,unesco
Musée Jacquemart-André,Un magnifique musée présentant une collection d'art classique et de mobilier d'époque dans un manoir du 19e siècle.,https://images.unsplash.com/photo-1668512624315-5da320435a44?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwSmFjcXVlbWFydC1BbmRyJUMzJUE5fGVufDB8fHx8MTcyNzIwMDkxMXww&ixlib=rb-4.0.3&q=80&w=1080,70,50,80,65,50,70,75,2,60.0,48.8756,2.3082,75,5,30,75,5,40,False
Musée Marmottan Monet,"Un musée abritant la plus grande collection au monde d'œuvres de Claude Monet, y compris 'Impression, Soleil Levant.'",https://images.unsplash.com/photo-1666468687723-eaa328a27e72?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwTWFybW90dGFuJTIwTW9uZXR8ZW58MHx8fHwxNzI3MjAwOTEyfDA&ixlib=rb-4.0.3&q=80&w=1080,70,50,75,65,50,65,75,2,60.0,48.8637,2.2707,65,5,35,70,5,35,False
Musée Nissim de Camondo,"Explorez ce manoir luxueux transformé en musée, présentant les arts décoratifs français du XVIIIe siècle.",https://images.unsplash.com/photo-1636142747667-345c583d09a5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwTmlzc2ltJTIwZGUlMjBDYW1vbmRvfGVufDB8fHx8MTcyNzIwMDkxM3ww&ixlib=rb-4.0.3&q=80&w=1080,70,40,75,65,40,60,70,2,50.0,48.8796,2.3122,60,5,50,60,5,35,False
Musée Picasso,"Installé dans un magnifique hôtel particulier, ce musée est dédié aux œuvres de Pablo Picasso.",https://images.unsplash.com/photo-1560706834-97a5cdf62110?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwUGljYXNzb3xlbnwwfHx8fDE3MjcyMDA5MTV8MA&ixlib=rb-4.0.3&q=80&w=1080,60,75,90,80,50,70,75,3,60.0,48.8599,2.3623,85,10,20,85,5,30,False
Musée Rodin,Découvrez l'univers du sculpteur Auguste Rodin dans ce magnifique musée et jardin.,https://images.unsplash.com/photo-1681854732406-30d197b297b9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwUm9kaW58ZW58MHx8fHwxNzI3MjAwOTE2fDA&ixlib=rb-4.0.3&q=80&w=1080,65,85,85,80,55,70,75,2,60.0,48.8554,2.3155,90,10,20,80,5,35,False
Musée Zadkine,"Un petit musée et jardin dédié aux œuvres du sculpteur Ossip Zadkine, caché dans Montparnasse.",https://images.unsplash.com/photo-1666468687723-eaa328a27e72?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwWmFka2luZXxlbnwwfHx8fDE3MjcyMDA5MTh8MA&ixlib=rb-4.0.3&q=80&w=1080,75,40,60,55,40,60,65,2,50.0,48.8447,2.3343,50,10,50,55,5,40,False
Musée d'Orsay,Découvrez la plus grande collection au monde d'œuvres impressionnistes et post-impressionnistes.,https://images.unsplash.com/photo-1632127257703-0cf673d29050?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwZCUyN09yc2F5fGVufDB8fHx8MTcyNzE5MDM2NXww&ixlib=rb-4.0.3&q=80&w=1080,40,100,100,95,60,85,80,3,90.0,48.8599,2.3266,100,5,5,85,0,20,False
Musée de Cluny,"Un musée d'histoire et d'art médiévaux, présentant de magnifiques tapisseries et des reliques architecturales.",https://images.unsplash.com/photo-1598065412434-6544dc76f81f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwZGUlMjBDbHVueXxlbnwwfHx8fDE3MjcyMDA5MjF8MA&ixlib=rb-4.0.3&q=80&w=1080,50,70,85,70,50,65,70,2,60.0,48.8504,2.3445,70,10,30,70,5,35,False
Musée de Montmartre,"Un musée qui capture l'histoire bohème de Montmartre, installé dans une résidence d'artistes.",https://images.unsplash.com/photo-1628589549925-3bb8e0632be5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwZGUlMjBNb250bWFydHJlfGVufDB8fHx8MTcyNzIwMDkyMnww&ixlib=rb-4.0.3&q=80&w=1080,65,70,75,75,50,70,75,2,60.0,48.8874,2.3387,75,10,30,75,5,35,False
Musée de l'Orangerie,"Un incontournable pour les amateurs d'art, présentant les Nymphéas de Monet dans un cadre serein.",https://images.unsplash.com/photo-1551124190-343f48f285fa?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwZGUlMjBsJTI3T3JhbmdlcmllfGVufDB8fHx8MTcyNzIwMDkyNHww&ixlib=rb-4.0.3&q=80&w=1080,60,85,85,80,55,70,75,2,60.0,48.8647,2.3228,90,5,15,80,0,25,False
Musée de la Chasse et de la Nature,"Un musée éclectique dédié à la chasse et à la nature, offrant une expérience unique.",https://images.unsplash.com/photo-1472396961693-142e6e269027?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwZGUlMjBsYSUyMENoYXNzZSUyMGV0JTIwZGUlMjBsYSUyME5hdHVyZXxlbnwwfHx8fDE3MjcyMDA5MjZ8MA&ixlib=rb-4.0.3&q=80&w=1080,75,40,70,60,40,60,65,2,50.0,48.8605,2.3622,60,10,50,55,5,40,False
Musée de la Vie Romantique,"Un musée dédié à l'époque romantique, installé dans une charmante maison avec un jardin et un café.",https://images.unsplash.com/photo-1598065412434-6544dc76f81f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwZGUlMjBsYSUyMFZpZSUyMFJvbWFudGlxdWV8ZW58MHx8fHwxNzI3MjAwOTI3fDA&ixlib=rb-4.0.3&q=80&w=1080,75,40,60,55,40,60,70,2,50.0,48.8824,2.3339,60,10,50,55,5,40,False
Musée du Quai Branly,"Un musée dédié à l'art et à la culture de l'Afrique, de l'Asie, de l'Océanie et des Amériques.",https://images.unsplash.com/photo-1666468687723-eaa328a27e72?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwZHUlMjBRdWFpJTIwQnJhbmx5fGVufDB8fHx8MTcyNzIwMDkyOHww&ixlib=rb-4.0.3&q=80&w=1080,55,85,90,85,55,70,75,3,60.0,48.8606,2.297,85,5,15,80,5,30,False
Notre-Dame Cathedral,Découvrez l'architecture gothique de la cathédrale Notre-Dame de Paris.,https://images.unsplash.com/photo-1565457211452-16f8e7062a0a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxOb3RyZS1EYW1lJTIwQ2F0aGVkcmFsfGVufDB8fHx8MTcyNzE5MDIzMnww&ixlib=rb-4.0.3&q=80&w=1080,40,100,100,95,60,85,80,3,90.0,48.8529,2.3508,100,5,5,85,0,20,True
Opéra Bastille,"Assistez à un opéra ou un ballet dans ce théâtre moderne, connu pour son architecture impressionnante.",https://images.unsplash.com/photo-1636554613531-89ffb1592ec3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxPcCVDMyVBOXJhJTIwQmFzdGlsbGV8ZW58MHx8fHwxNzI3MjAwOTMxfDA&ixlib=rb-4.0.3&q=80&w=1080,40,75,85,75,50,65,70,3,60.0,48.8531,2.3699,70,5,20,75,5,30,False
Opéra Garnier Tour,"Faites une visite guidée du somptueux Palais Garnier, symbole de l'opulence parisienne.",https://images.unsplash.com/photo-1599049354107-fac4c52f3ace?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxPcCVDMyVBOXJhJTIwR2FybmllciUyMFRvdXJ8ZW58MHx8fHwxNzI3MTkwMzc1fDA&ixlib=rb-4.0.3&q=80&w=1080,50,90,90,85,50,70,75,3,60.0,48.8719,2.3317,90,5,10,80,5,30,False
Palace of Versailles,"Visitez l'opulent château de Versailles, ancienne résidence des rois de France.",https://images.unsplash.com/photo-1624301466553-cb1721edab2a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxQYWxhY2UlMjBvZiUyMFZlcnNhaWxsZXN8ZW58MHx8fHwxNzI3MTkwMjM2fDA&ixlib=rb-4.0.3&q=80&w=1080,40,100,100,95,60,85,80,3,90.0,48.8049,2.1203,100,5,5,85,0,20,True
Palais Garnier,"Visitez le grand opéra, un chef-d'œuvre architectural et une icône culturelle de Paris.",https://images.unsplash.com/photo-1630587148265-761cbd139043?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxQYWxhaXMlMjBHYXJuaWVyfGVufDB8fHx8MTcyNzIwMDkzNHww&ixlib=rb-4.0.3&q=80&w=1080,40,100,100,95,60,85,80,3,90.0,48.8719,2.3317,100,5,5,85,0,20,False
Palais de Tokyo,Un centre d'art contemporain présentant des expositions avant-gardistes dans un vaste espace moderne.,https://images.unsplash.com/photo-1680293465970-6f07b44e7806?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxQYWxhaXMlMjBkZSUyMFRva3lvfGVufDB8fHx8MTcyNzIwMDkzNXww&ixlib=rb-4.0.3&q=80&w=1080,75,60,80,65,50,70,75,2,60.0,48.8645,2.2977,75,5,35,75,5,40,False
Panthéon,"Un mausolée contenant les restes de citoyens français distingués, avec une histoire fascinante.",https://images.unsplash.com/photo-1623750318031-1a721a9f6124?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxQYW50aCVDMyVBOW9ufGVufDB8fHx8MTcyNzIwMDkzNnww&ixlib=rb-4.0.3&q=80&w=1080,50,90,90,85,50,70,75,2,60.0,48.8462,2.3444,90,5,20,80,5,35,False
Parc André Citroën,"Un parc moderne avec de vastes pelouses, des fontaines, et un ballon captif pour une vue aérienne.",https://images.unsplash.com/photo-1709217070724-583b08f3524e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxQYXJjJTIwQW5kciVDMyVBOSUyMENpdHJvJUMzJUFCbnxlbnwwfHx8fDE3MjcyMDA5Mzh8MA&ixlib=rb-4.0.3&q=80&w=1080,80,60,40,55,80,75,75,1,40.0,48.8369,2.277,60,10,40,60,15,50,False
Parc Georges-Brassens,Un parc paisible dans le 15e arrondissement avec un vignoble et un marché de livres le week-end.,https://images.unsplash.com/photo-1602745724567-e665476f2519?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxQYXJjJTIwR2Vvcmdlcy1CcmFzc2Vuc3xlbnwwfHx8fDE3MjcyMDA5Mzl8MA&ixlib=rb-4.0.3&q=80&w=1080,85,40,40,50,80,70,70,1,40.0,48.8336,2.3039,50,10,60,55,15,55,False
Parc Monceau,"Un parc serein avec de belles statues, un étang, et de nombreux endroits pour se détendre.",https://images.unsplash.com/photo-1636142350095-947181bdff8d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxQYXJjJTIwTW9uY2VhdXxlbnwwfHx8fDE3MjcxOTA0MTB8MA&ixlib=rb-4.0.3&q=80&w=1080,70,75,45,65,80,75,80,1,40.0,48.8795,2.309,70,10,40,65,10,45,False
Parc de Belleville,"Un parc moins connu avec de belles vues sur la ville, calme et parfait pour un après-midi tranquille.",https://images.unsplash.com/photo-1598065412434-6544dc76f81f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxQYXJjJTIwZGUlMjBCZWxsZXZpbGxlfGVufDB8fHx8MTcyNzIwMDk0MXww&ixlib=rb-4.0.3&q=80&w=1080,85,55,40,60,80,75,75,1,40.0,48.873,2.383,60,20,50,60,15,55,False
Parc de Bercy,"Un magnifique parc avec des jardins, des étangs et des serres, idéal pour une journée tranquille.",https://images.unsplash.com/photo-1683314679240-90f06daf64a4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxQYXJjJTIwZGUlMjBCZXJjeXxlbnwwfHx8fDE3MjcyMDA5NDN8MA&ixlib=rb-4.0.3&q=80&w=1080,80,65,45,65,80,75,75,1,40.0,48.8332,2.384,65,10,40,60,10,45,False
Parc de la Butte-du-Chapeau-Rouge,Un parc calme et méconnu offrant une vue panoramique sur la ville et de belles pelouses.,Une erreur s'est produite lors de la requête : 403 Client Error: Forbidden for url: https://api.unsplash.com/search/photos?query=Parc+de+la+Butte-du-Chapeau-Rouge&per_page=1&client_id=6GqmEGAUVEdj8sp6Z7_Qv1AwMSjI5xnE-uh-vOyapq0,85,40,40,50,80,70,70,1,40.0,48.8791,2.3982,50,15,60,55,15,55,False
Parc de la Villette,Détendez-vous dans ce vaste parc qui combine des espaces verts avec des lieux culturels.,https://images.unsplash.com/photo-1723546715010-36aef153139e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxQYXJjJTIwZGUlMjBsYSUyMFZpbGxldHRlfGVufDB8fHx8MTcyNzE5MDQwOHww&ixlib=rb-4.0.3&q=80&w=1080,75,70,60,70,80,75,75,2,50.0,48.8914,2.393,75,20,40,70,15,50,False
Paris Catacombs,"Explorez les ossuaires souterrains de Paris, une expérience unique et fascinante.",https://images.unsplash.com/photo-1608214316492-bfdc317b1a06?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxQYXJpcyUyMENhdGFjb21ic3xlbnwwfHx8fDE3MjcxOTAzNjJ8MA&ixlib=rb-4.0.3&q=80&w=1080,40,90,80,85,60,75,65,3,60.0,48.8339,2.3322,85,30,10,75,0,35,False
Paris Kart Indoor,Une piste de karting indoor pour les amateurs d'adrénaline à la recherche d'action à Paris.,Une erreur s'est produite lors de la requête : 403 Client Error: Forbidden for url: https://api.unsplash.com/search/photos?query=Paris+Kart+Indoor&per_page=1&client_id=6GqmEGAUVEdj8sp6Z7_Qv1AwMSjI5xnE-uh-vOyapq0,60,40,30,50,70,85,75,2,50.0,48.896,2.355,65,25,60,80,30,70,False
Passage Brady,"Un passage étroit rempli de restaurants et boutiques indiens et pakistanais, un goût d'Asie à Paris.",Une erreur s'est produite lors de la requête : 403 Client Error: Forbidden for url: https://api.unsplash.com/search/photos?query=Passage+Brady&per_page=1&client_id=6GqmEGAUVEdj8sp6Z7_Qv1AwMSjI5xnE-uh-vOyapq0,65,50,45,55,60,65,70,1,30.0,48.87,2.3564,60,15,40,55,10,60,False
Petit Palais,Explorez les collections des beaux-arts dans ce magnifique bâtiment qui propose également des expositions gratuites.,Une erreur s'est produite lors de la requête : 403 Client Error: Forbidden for url: https://api.unsplash.com/search/photos?query=Petit+Palais&per_page=1&client_id=6GqmEGAUVEdj8sp6Z7_Qv1AwMSjI5xnE-uh-vOyapq0,65,80,80,75,60,70,75,2,50.0,48.8662,2.3135,85,5,20,75,5,35,True
Place des Vosges,"La plus ancienne place aménagée de Paris, un endroit tranquille pour se détendre et observer les passants.",https://images.unsplash.com/photo-1710691018646-b02ad0761da3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxQbGFjZSUyMGRlcyUyMFZvc2dlc3xlbnwwfHx8fDE3MjcxOTA0MTN8MA&ixlib=rb-4.0.3&q=80&w=1080,55,85,85,80,70,75,75,1,50.0,48.8554,2.3653,85,5,30,80,0,30,True
Place du Marché Saint-Honoré,"Une place moderne avec un bâtiment en verre, entourée de cafés et de boutiques.",Une erreur s'est produite lors de la requête : 403 Client Error: Forbidden for url: https://api.unsplash.com/search/photos?query=Place+du+March%C3%A9+Saint-Honor%C3%A9&per_page=1&client_id=6GqmEGAUVEdj8sp6Z7_Qv1AwMSjI5xnE-uh-vOyapq0,70,70,50,65,70,75,75,2,40.0,48.8671,2.3322,70,5,40,70,5,50,False
Pont Alexandre III,Admirez l'architecture ornée du plus beau pont de Paris.,https://images.unsplash.com/photo-1690759432345-8008b47df90d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxQb250JTIwQWxleGFuZHJlJTIwSUlJfGVufDB8fHx8MTcyNzE5MDM4Mnww&ixlib=rb-4.0.3&q=80&w=1080,40,90,75,80,60,75,75,1,50.0,48.8636,2.3135,90,5,20,80,5,30,True
Promenade Dora Maar,"Une promenade paisible avec des installations d'art moderne, loin de l'agitation de la ville.",Une erreur s'est produite lors de la requête : 403 Client Error: Forbidden for url: https://api.unsplash.com/search/photos?query=Promenade+Dora+Maar&per_page=1&client_id=6GqmEGAUVEdj8sp6Z7_Qv1AwMSjI5xnE-uh-vOyapq0,75,40,40,55,70,70,75,1,40.0,48.8962,2.2767,50,10,40,55,15,50,False
Promenade Plantée,"Un magnifique parc surélevé construit sur une ancienne ligne de chemin de fer, idéal pour une promenade tranquille.",https://images.unsplash.com/photo-1570688384235-e33c15afbe82?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxQcm9tZW5hZGUlMjBQbGFudCVDMyVBOWV8ZW58MHx8fHwxNzI3MTkwNDEyfDA&ixlib=rb-4.0.3&q=80&w=1080,85,50,50,60,70,75,75,1,50.0,48.8438,2.3807,65,20,50,60,10,55,False
Promenade des Plantes,Une promenade pittoresque à travers l'espace vert surélevé offrant une évasion paisible de la ville.,Une erreur s'est produite lors de la requête : 403 Client Error: Forbidden for url: https://api.unsplash.com/search/photos?query=Promenade+des+Plantes&per_page=1&client_id=6GqmEGAUVEdj8sp6Z7_Qv1AwMSjI5xnE-uh-vOyapq0,80,50,50,60,70,70,75,1,50.0,48.8438,2.3807,65,10,50,60,10,55,False
Pétanque at Place Dauphine,"Jouez à la pétanque sur la place historique Dauphine, un passe-temps local détendu.",Une erreur s'est produite lors de la requête : 403 Client Error: Forbidden for url: https://api.unsplash.com/search/photos?query=P%C3%A9tanque+at+Place+Dauphine&per_page=1&client_id=6GqmEGAUVEdj8sp6Z7_Qv1AwMSjI5xnE-uh-vOyapq0,70,50,40,50,70,75,75,1,40.0,48.856,2.3434,60,20,40,55,20,65,False
Quai de Jemmapes,"Un quai paisible le long du Canal Saint-Martin, prisé des locaux pour les pique-niques et les promenades.",Une erreur s'est produite lors de la requête : 403 Client Error: Forbidden for url: https://api.unsplash.com/search/photos?query=Quai+de+Jemmapes&per_page=1&client_id=6GqmEGAUVEdj8sp6Z7_Qv1AwMSjI5xnE-uh-vOyapq0,75,50,40,55,70,75,75,1,40.0,48.871,2.3709,65,20,50,60,10,60,False
Rue Crémieux,"Promenez-vous dans cette rue pittoresque et colorée, parfaite pour une session photo relaxante.",Une erreur s'est produite lors de la requête : 403 Client Error: Forbidden for url: https://api.unsplash.com/search/photos?query=Rue+Cr%C3%A9mieux&per_page=1&client_id=6GqmEGAUVEdj8sp6Z7_Qv1AwMSjI5xnE-uh-vOyapq0,65,60,40,50,70,70,75,1,30.0,48.8472,2.3709,60,10,50,55,10,70,False
Rue Mouffetard Market,"Un marché local avec des produits frais, parfait pour ceux qui recherchent une expérience parisienne authentique.",Une erreur s'est produite lors de la requête : 403 Client Error: Forbidden for url: https://api.unsplash.com/search/photos?query=Rue+Mouffetard+Market&per_page=1&client_id=6GqmEGAUVEdj8sp6Z7_Qv1AwMSjI5xnE-uh-vOyapq0,65,70,60,70,70,75,75,2,40.0,48.8422,2.3491,70,15,40,70,10,60,False
Sacré-Cœur Basilica,"Visitez la basilique emblématique de Montmartre, offrant une vue imprenable sur Paris.",https://images.unsplash.com/photo-1548092876-a2c48808e22d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxTYWNyJUMzJUE5LUMlQzUlOTN1ciUyMEJhc2lsaWNhfGVufDB8fHx8MTcyNzE5MDM2OHww&ixlib=rb-4.0.3&q=80&w=1080,40,100,90,95,60,85,80,1,90.0,48.8867,2.3431,100,5,5,85,0,25,False
Sainte-Chapelle,"Admirez les magnifiques vitraux de la Sainte-Chapelle, un joyau de l'architecture gothique.",https://images.unsplash.com/photo-1704967137129-1b8093075e9e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxTYWludGUtQ2hhcGVsbGV8ZW58MHx8fHwxNzI3MTkwMjQwfDA&ixlib=rb-4.0.3&q=80&w=1080,40,95,90,90,60,80,80,2,60.0,48.8554,2.3445,95,5,10,80,0,30,True
Seine River Cruise,Profitez d'une croisière relaxante sur la Seine et admirez les monuments emblématiques de Paris.,https://images.unsplash.com/photo-1567187155374-cd9135b1f247?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxTZWluZSUyMFJpdmVyJTIwQ3J1aXNlfGVufDB8fHx8MTcyNzE5MDIzMHww&ixlib=rb-4.0.3&q=80&w=1080,60,90,80,85,70,85,85,2,90.0,48.8583,2.2945,90,10,10,85,5,25,True
Square René Viviani,Un petit parc calme près de Notre-Dame avec l'arbre le plus ancien de Paris.,square_rene_viviani.png,75,40,40,55,70,70,75,1,40.0,48.8523,2.3484,55,10,50,55,5,60,False
Square des Batignolles,"Un charmant jardin de style anglais avec un étang, des canards et des coins paisibles.",square_des_batignolles.png,85,50,40,55,80,70,75,1,40.0,48.8866,2.3172,60,15,60,60,15,60,False
Square des Peupliers,Une place résidentielle paisible avec des maisons charmantes et une atmosphère de village.,square_des_peupliers.png,80,40,40,50,80,70,70,1,40.0,48.8256,2.355,55,10,50,55,10,65,False
Square du Temple,Un parc paisible dans le Marais avec un petit étang et de beaux jardins.,square_du_temple.png,80,40,50,60,75,70,75,1,40.0,48.8636,2.3633,65,10,50,60,10,55,False
Square du Vert-Galant,"Un espace vert paisible à la pointe de l'Île de la Cité, parfait pour un pique-nique au bord de la rivière.",https://images.unsplash.com/photo-1544098281-073ae35c98b0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxTcXVhcmUlMjBkdSUyMFZlcnQtR2FsYW50fGVufDB8fHx8MTcyNzE5MDQwNXww&ixlib=rb-4.0.3&q=80&w=1080,85,45,40,55,80,70,75,1,40.0,48.857,2.3411,55,15,50,60,15,60,True
Théâtre des Champs-Élysées,Assistez à un concert ou un opéra dans l'un des lieux les plus prestigieux et culturellement riches de Paris.,theatre_des_champs_elysees.png,50,70,75,70,60,70,75,3,60.0,48.8653,2.3081,70,5,30,70,5,35,False
Théâtre du Châtelet,"Assistez à un spectacle dans ce théâtre historique, connu pour sa programmation culturelle variée.",theatre_du_chatelet.png,50,70,75,70,60,70,75,3,60.0,48.8576,2.347,70,5,30,70,5,35,False
Tour Eiffel,Visitez l'emblématique Tour Eiffel et profitez d'une vue imprenable sur Paris.,https://images.unsplash.com/photo-1558909540-384e29812f54?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxUb3VyJTIwRWlmZmVsfGVufDB8fHx8MTcyNzE4OTU3M3ww&ixlib=rb-4.0.3&q=80&w=1080,40,100,100,100,60,90,85,1,90.0,48.8584,2.2945,100,5,5,95,0,20,True
Versailles Gardens,"Explorez les magnifiques jardins du Palais de Versailles, un chef-d'œuvre des jardins à la française.",https://images.unsplash.com/photo-1710566156843-915479c4c654?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxWZXJzYWlsbGVzJTIwR2FyZGVuc3xlbnwwfHx8fDE3MjcxOTAzODB8MA&ixlib=rb-4.0.3&q=80&w=1080,70,100,85,95,70,85,80,1,60.0,48.8049,2.1203,100,10,5,85,10,25,True
Viaduc des Arts,"Une charmante arcade sous la Promenade Plantée, remplie d'ateliers d'artisans et de boutiques.",viaduc_des_arts.png,75,50,45,60,70,70,75,1,40.0,48.8459,2.375,60,15,50,60,10,65,False
Villa Léandre,Une rue charmante et tranquille à Montmartre qui ressemble à un petit village anglais.,villa_leandre.png,80,40,40,50,80,70,75,1,40.0,48.8899,2.335,55,10,50,55,10,60,False
Île Saint-Louis,Promenez-vous sur cette île charmante de la Seine avec ses boutiques pittoresques et son atmosphère détendue.,https://images.unsplash.com/photo-1639155246408-728d55d29cae?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHwlQzMlOEVsZSUyMFNhaW50LUxvdWlzfGVufDB8fHx8MTcyNzE5MDM5OHww&ixlib=rb-4.0.3&q=80&w=1080,65,85,75,80,70,75,75,1,50.0,48.8523,2.3569,85,5,30,80,0,30,True
